"symbol","name","industry","subsector","group","latest","start","latestDate","startDate","diffToMin","diffToMax","diff","min","minDate","median","average","max","maxDate","low","numberOfDates"
"AGR","Công ty Cổ phần Chứng khoán AGRIBANK","Tài chính","Môi giới chứng khoán","HOSE",11.35,10.5,"2021-02-25","2021-01-27",11.35,0.55,11.9,0,"2021-02-15",11.4,9.61,11.9,"2021-02-17",false,19
"ALT","Công ty Cổ phần Văn hóa Tân Bình","Dịch vụ Tiêu dùng","Sách, ấn bản & sản phẩm văn hóa","HNX",12.2,13,"2021-02-24","2021-02-02",0,0.8,0.8,12.2,"2021-02-03",12.2,12.4,13,"2021-02-02",true,4
"AMC","Công ty Cổ phần Khoáng sản Á Châu","Nguyên vật liệu","Khai khoáng ","HNX",18,18.3,"2021-02-24","2021-01-27",1.5,0.3,1.8,16.5,"2021-02-02",17.65,17.33,18.3,"2021-01-27",false,12
"AMD","Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone","Tài chính","Bất động sản","HOSE",3.12,3.29,"2021-02-25","2021-01-27",3.12,0.17,3.29,0,"2021-02-15",2.99,2.68,3.29,"2021-01-27",false,19
"AME","Công ty cổ phần Alphanam E&C","Công nghiệp","Thiết bị điện","HNX",8.5,8.7,"2021-02-25","2021-01-27",0.5,0.2,0.7,8,"2021-02-18",8.5,8.46,8.7,"2021-01-27",false,10
"AMV","Công ty Cổ phần Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ","Dược phẩm và Y tế","Dược phẩm","HNX",12.3,11.6,"2021-02-25","2021-01-27",1.8,0.2,2,10.5,"2021-01-28",11.2,11.44,12.5,"2021-02-23",false,19
"ANV","Công ty Cổ phần Nam Việt","Hàng Tiêu dùng","Nuôi trồng nông & hải sản","HOSE",20.9,19.8,"2021-02-25","2021-01-27",20.9,0.7,21.6,0,"2021-02-15",19.7,17.86,21.6,"2021-02-23",false,19
"APC","Công ty Cổ phần Chiếu xạ An Phú","Dược phẩm và Y tế","Công nghệ sinh học","HOSE",22.3,22.4,"2021-02-25","2021-01-27",22.3,1.1,23.4,0,"2021-02-15",21.5,19.39,23.4,"2021-02-23",false,19
"APG","Công ty Cổ phần Chứng khoán APG","Tài chính","Môi giới chứng khoán","HOSE",8.79,9.24,"2021-02-25","2021-01-27",8.79,0.45,9.24,0,"2021-02-15",8.79,7.86,9.24,"2021-01-27",false,19
"APH","Công ty Cổ phần Tập đoàn An Phát Holdings","Công nghiệp","Containers & Đóng gói","HOSE",68.5,60.3,"2021-02-25","2021-01-27",68.5,1.1,69.6,0,"2021-02-15",62.6,56.69,69.6,"2021-02-23",false,19
